"","AlignID","Factor","tmean","FoundIn","4_Blanco","15_QC1_4","21_Qc2_2","28_Qc3_3","34_Qc1_2","41_Qc2_4","44_Qc2_5","45_Qc3_2","7_Qc1_5","8_Qc2_3","10_RIG003_1","11_Sample_FIED001_2","12_Sample_RGY001_3","13_Sample_RIG003_3","14_Sample_RYTA006_2","16_Sample_RYMG001_3","17_Sample_RGY001_1","18_Sample_FIED001_1","19_Sample_RYMG001_2","20_Sample_ER001_1","22_Sample_ATA001_2","23_RIG003_2","25_Sample_RYTA006_3","26_Sample_RYTA006_1","27_Sample_RIG005_3","29_Sample_RGB004_1","30_Sample_RGB004_3","31_Sample_FIED001_3","32_Sample_ATA001_3","33_Sample_ATA001_1","35_Sample_RGY001_2","36_Sample_RGB004_2","37_Sample_RIG005_1","38_Sample_ER001_2","40_Sample_RYMG001_1","42_Sample_RIG005_2","43_Sample_ER001_3"
"48",46,"Factor #46",6.5088,37,260.4923,32851,22057.08,15279.07,36666.53,32599.99,38380.38,23448.79,22752.08,13747.61,23849.3,1094.036,1621.419,26910.7,456.3314,4638.704,1521,1037.044,4565.887,737.9248,923,26669.89,400.4119,380.0873,55669.29,12192.32,11990.82,1194.148,821.094,884.8239,1837.987,13976.54,56337.22,1512.203,6040.804,59196.11,1132.001
"50",50,"Factor #50",6.6089,37,34.99472,447.4513,548.4683,316.8259,762.7983,616.3264,514.4053,464.8926,354.6582,404.9116,333.1495,84.45995,48.93786,375.4029,747.9965,94.532,71.89042,51.00451,78.80463,288.035,519,402.182,639,827,1403.324,202.4624,216.9803,50.21031,623,629,69.10311,264.396,1207.069,433.6612,95.36132,1729.635,375.1228
"52",53,"Factor #53",6.6157,37,278.5848,2875.666,3296,2040,4722,3831.426,3074.44,2761.127,2214,2030,2543.843,614.2529,244.4655,2327,223.7493,540.8467,291.8653,176.359,1476.161,182.6172,104.1704,2377,142.7607,214.3251,4423.942,1254.997,1455.488,185.9904,179.0169,229.0441,286.053,1553.597,5655.507,1085.264,700.5795,4551.147,956.0772
"53",52,"Factor #52",6.6161,37,168.5765,2721.206,2867.422,1721.071,4300.682,3567,3022.829,2670.021,2049.646,1812,2605.356,159.9785,226.2159,2097.996,185.3583,527.7917,245.7425,171.5234,464.4133,141.4673,102.6758,2340.063,134.2595,100.6554,4609.396,1106.759,1266.084,180.5765,159.7748,168.577,291.5288,1430.458,5902,865.2907,726.7115,4395.546,821.618
"54",54,"Factor #54",6.6197,37,88.51265,2823,3295.529,2040.248,4731.999,3889.681,3057.23,2767.556,2199.304,2030.086,2488.703,176.8077,237.7429,2218.549,222.8311,545.0305,636.8442,176.4197,427.6372,148.2836,95.09759,2379.859,94.56982,119.7824,4423.1,1214.598,1292.769,183.2668,151.1275,216.5371,257.0966,1360.695,5387,138.8713,678.6433,4681,884.942
"55",51,"Factor #51",6.6215,37,45.63963,2823,3177.683,1044,4642.543,3733.978,3291.813,1194,1671,2010.515,2827.307,229.4907,244.4655,1133,91.21206,533.216,291.8653,169.0982,206.4357,192.7248,105.5173,2409.86,142.7607,141.8447,4668,1156,1342.089,193.1364,179.0169,190.0991,287.8809,1457.74,5902.188,396.2949,700.5795,4681.156,330.8138
"57",57,"Factor #57",7.4574,37,31.85747,234.9475,256.2094,178.5407,242.6994,265.9298,319.9167,281.7754,268.4047,212.1427,454.5098,61.69891,65.78642,504.9699,241.348,81.59651,78.43925,51.08997,78.16977,241.3116,1003,537.0487,263.9022,480,471,1842,1748,44.21725,1283,1238,47.54328,2016,489,401.3852,115.0442,534,409.4127
"59",59,"Factor #59",7.5896,37,635,125.4928,475.445,940,798,753,130.805,1045,178.0529,534,90.02647,256.8406,308.6617,144.1379,144.7298,81.44318,76.43892,60.95947,92.14443,80.47973,230.0619,175.8776,388.6927,101.2928,160.3672,332.085,206.3213,153.0249,248.4417,725,688,728,797,1114,936,237.6876,188.0241
"60",60,"Factor #60",7.665,37,17.67429,243.7964,299.2384,318.8999,105.3091,259.65,258.756,228.0606,337.8998,430.0078,165.1128,121.0346,167.7632,154.7745,94.62683,1021,225.0784,61.54278,910,130.6136,153.484,129.7467,100.6387,87.1844,1671,66.01356,87.69826,122.5417,144.0388,120.8829,183.1882,57.78672,1346,117.0682,793,1671,139.3925
"62",67,"Factor #67",7.8578,37,45.05655,869.6799,997.3869,1251.529,1044,1089,1209.802,1133.202,779.5341,815,233.547,708.2113,2438.987,205.2397,89.13186,792.0454,2035.966,579.9896,686.7421,70.32969,211.4781,156.6392,143.5436,110.6672,3484.657,1576.581,1354.426,688.1262,263.554,314.0499,2425.464,1503.53,3847.59,147.6109,918.6261,3809.101,117.8663
"63",64,"Factor #64",7.8605,37,37.21225,965.8671,977.2167,1323.653,1206.26,1210,1238,1266,779.5341,922.802,164.6863,677.2799,2452,196.4672,74.38111,792.0454,2163,758.7106,700.5566,46.79708,244.7651,155.0038,111.2143,105.3955,3614.825,1576.581,1436.348,766.0253,276.6506,314.9342,2505.365,1629,4121.361,115.8238,1007.854,3958.842,84.72772
"64",62,"Factor #62",7.8673,37,49.7292,969,1015,1326,1227,1210,1215,1271,929,910,197.941,659,2452,212.7045,112.0457,792.0454,2235.627,653.9281,817,62.01884,273.5802,186.8912,126.4893,109.6822,3615,1577,1393,857,288.7331,306.3872,2463,1614,4121,205.2499,1008,3959,95.49978
"65",63,"Factor #63",7.967,37,46.98221,1616.869,1607.276,2302.504,1737.642,1941.095,2135.656,2092.478,1694.978,1422.951,330.5108,1253.22,3772.334,569.2213,241.3335,1517,4127.127,747,1491.582,148.4471,518.123,351.5846,160.2415,161.6074,5931.904,2809.664,2317.969,1675.823,645.9544,536.1995,4068.946,2596.667,6180.529,357.3749,1384,6911.986,399.5356
"66",61,"Factor #61",7.9715,37,100.1837,1617,1653,2303,1751,1941,2136,2092,1709,1423,330.5108,1253,3772,576,241.3335,1499,4127,1513,1492,137.845,551,351.5846,159.8302,161.6074,5932,2810,2500,1676,645.9544,536,4069,2613,6181,369.9558,1339,6909,399.5356
"67",65,"Factor #65",7.9722,37,93.33376,1511.58,1491.308,2092.23,1716.835,1934.769,2119.596,1884,1596.205,1404,325.4563,1253.22,3702.804,521.5412,225.8013,1440.555,3570.173,1356.443,1387.818,137.845,550.914,285.9918,160.2415,157.2281,5667.639,2669.045,2441.658,1560.101,646,473.638,3645.954,2247.732,5717.465,258.6926,1264.815,6477.044,370.6657
